50,0.0432,0.0141,0.4031,1.8363,0.4304,2.0106,0.2984,2.0982,0.3283,2.3588,0.4097,2.7544,0.5502,3.4942,0.6581,4.8519,0.741,7.0873,0.7713,10.6106,0.7953,15.8189,0.7919,22.4502,0.7862,30.0683
51,0.046,0.0175,0.4874,2.0657,0.4332,2.1647,0.3685,2.3755,0.3425,2.633,0.2977,2.9472,0.2765,3.4348,0.3922,4.7309,0.6048,7.8844,0.7402,14.3428,0.7857,24.6586,0.8038,37.6903,0.7994,52.7513
52,0.0439,0.0141,0.3641,2.0144,0.436,2.1305,0.4451,2.3468,0.4442,2.6087,0.4406,2.9134,0.4603,3.3094,0.5378,4.082,0.658,5.5639,0.7545,8.513,0.8012,13.5303,0.8068,20.5536,0.8034,29.1018
53,0.0488,0.0141,0.4458,2.2547,0.4633,2.4033,0.4187,2.6471,0.4224,2.9504,0.4403,3.2922,0.4897,3.7798,0.5703,4.6997,0.6665,6.3201,0.7374,9.1557,0.7834,13.9129,0.7916,20.7679,0.791,29.2664
54,0.0372,0.0142,0.2511,2.0557,0.3332,2.265,0.2434,2.3546,0.2809,2.619,0.395,3.041,0.5195,3.7414,0.6317,4.9996,0.7193,7.23,0.7786,10.9968,0.7985,16.9361,0.8057,25.0992,0.7956,34.7952
55,0.0458,0.0141,0.4786,2.597,0.4897,2.7031,0.4828,2.9548,0.4714,3.2556,0.44,3.5566,0.4323,3.9116,0.4854,4.568,0.5828,5.8198,0.6842,8.151,0.7636,12.7166,0.7956,19.815,0.7992,29.1687
56,0.0312,0.0141,0.4524,2.2285,0.4951,2.5429,0.2797,2.7814,0.2498,3.0684,0.2115,3.4939,0.2353,4.2166,0.4295,5.8545,0.6075,8.8435,0.7338,14.5979,0.7878,23.7461,0.811,36.182,0.7996,51.6934
57,0.0441,0.0141,0.515,3.0481,0.5155,3.1745,0.4605,3.3977,0.4339,3.6763,0.405,3.9536,0.397,4.2841,0.4237,4.8058,0.4972,5.7183,0.5941,7.3498,0.7092,10.7926,0.7716,16.9488,0.7926,25.7149
58,0.0497,0.0142,0.3942,2.8123,0.4248,2.9904,0.3789,3.2547,0.3803,3.5645,0.36,3.8851,0.3301,4.2347,0.3565,4.794,0.4495,5.905,0.5764,8.4267,0.713,13.6591,0.7909,22.1912,0.8032,33.7869
59,0.0265,0.0142,0.6319,2.8172,0.4733,3.1239,0.4206,3.4066,0.3758,3.7231,0.3291,4.0594,0.2436,4.5004,0.2351,5.3073,0.3807,6.7648,0.5694,10.0247,0.7249,16.4363,0.7983,26.5785,0.8143,40.8274
60,0.1316,0.014,0.2949,2.3474,0.2973,2.6196,0.2741,2.8547,0.2645,3.1627,0.2856,3.5779,0.37,4.4764,0.5049,6.5527,0.6231,10.1994,0.7435,17.052,0.7978,28.9476,0.8044,45.891,0.7997,68.6477
61,0.0428,0.0141,0.599,3.3314,0.5145,3.5881,0.4815,3.8767,0.4402,4.1989,0.3933,4.5187,0.3401,4.8499,0.325,5.3339,0.3848,6.1595,0.5064,8.0633,0.6516,12.4933,0.7553,21.1267,0.8061,35.3084
62,0.0458,0.0141,0.347,3.4063,0.4334,3.6268,0.3537,3.8464,0.3387,4.1549,0.3165,4.4855,0.3046,4.8596,0.3131,5.3772,0.3595,6.213,0.4544,7.6984,0.6122,10.9724,0.7439,17.4818,0.8027,28.8406
63,0.0464,0.0141,0.2499,2.9377,0.3539,3.2892,0.2672,3.5291,0.237,3.819,0.2252,4.0968,0.2157,4.4166,0.2379,4.8652,0.2981,5.533,0.4579,7.2872,0.6509,12.4294,0.7827,22.7461,0.8259,39.6535
64,0.042,0.0141,0.4347,3.1971,0.4187,3.4877,0.3869,3.7589,0.3547,4.0808,0.3184,4.4132,0.2987,4.7665,0.3021,5.2267,0.3334,5.8625,0.4364,7.075,0.6198,10.5296,0.7288,17.9569,0.7977,30.4278
65,0.0649,0.0141,0.6093,3.7485,0.5229,4.0034,0.4761,4.3057,0.4363,4.6293,0.3818,4.946,0.3175,5.2753,0.261,5.7666,0.2371,6.6035,0.3676,8.6471,0.6475,15.2357,0.7893,30.2865,0.8177,55.7362
66,0.0439,0.0141,0.3699,3.4846,0.3989,3.7621,0.3634,4.0325,0.3362,4.3636,0.3211,4.7103,0.3107,5.0726,0.3073,5.4983,0.3264,6.0944,0.407,7.1839,0.5786,9.9798,0.7261,16.7785,0.8077,30.865
67,0.04,0.0141,0.5608,3.8442,0.5421,4.2081,0.4835,4.5132,0.4423,4.8665,0.4007,5.2259,0.3533,5.6107,0.2947,6.1333,0.2579,6.9161,0.2939,8.9305,0.491,15.4323,0.7429,31.3844,0.8198,60.6518
68,0.0443,0.0142,0.64,3.771,0.5529,4.051,0.5111,4.328,0.4495,4.6497,0.3824,5.0512,0.3061,5.5712,0.256,6.4666,0.2432,7.9388,0.2831,10.6322,0.5309,17.0225,0.7367,31.6953,0.8065,58.2494
69,0.0426,0.0141,0.6278,3.76,0.522,4.1455,0.4591,4.5045,0.3931,4.8852,0.3478,5.265,0.3035,5.6983,0.254,6.2268,0.238,6.8399,0.2996,7.9528,0.4895,10.8589,0.6953,18.4914,0.8046,34.978
70,0.0448,0.0141,0.617,4.0763,0.5491,4.3686,0.503,4.6792,0.4616,5.0317,0.429,5.3962,0.3766,5.7753,0.3192,6.2225,0.2441,6.7749,0.1869,8.1782,0.3762,12.6753,0.6981,26.05,0.8103,54.272
71,0.045,0.0141,0.6481,4.0394,0.5765,4.3644,0.5055,4.655,0.466,5.0117,0.42,5.3489,0.3561,5.6875,0.2979,6.1339,0.2361,6.7288,0.1754,7.9488,0.3143,11.5633,0.6628,23.3726,0.8069,52.4546
72,0.0427,0.0141,0.6237,3.8096,0.5683,4.1101,0.5094,4.391,0.4677,4.7327,0.4193,5.084,0.3698,5.4611,0.3061,5.9866,0.244,6.9133,0.1992,9.1908,0.3377,16.544,0.6587,34.7129,0.8142,69.5966
73,0.0422,0.0141,0.6368,4.1284,0.5685,4.4409,0.5154,4.745,0.4668,5.0936,0.4206,5.4521,0.3761,5.8016,0.3289,6.2228,0.2787,6.7327,0.2039,7.5846,0.285,10.0344,0.625,18.6956,0.8096,42.8628
74,0.0418,0.0141,0.3235,3.2178,0.3457,3.5511,0.3019,3.8091,0.2738,4.1119,0.2553,4.4223,0.2451,4.762,0.2418,5.1938,0.2771,5.7499,0.3755,6.7477,0.5496,9.3316,0.7254,16.5938,0.8196,33.5528
75,0.0415,0.0142,0.7109,4.1485,0.6533,4.4827,0.5991,4.8,0.5379,5.167,0.4922,5.5198,0.4356,5.8619,0.3748,6.3516,0.2947,6.9952,0.1907,8.4775,0.3305,13.0278,0.6724,25.4622,0.8265,55.5011
